CATALOG NUMBER,SVL,Ventrals,lat,long,,,,,,
R-85245,28.8,182,20.390454,-101.186746,,,,,,
R-108826,73.8,191,27.910821,-101.18055,,,,,,
R-169701,101,191,29.898568,-101.125688,,,,,,
R-169700,102.9,192,29.705517,-101.116075,,,,,,
R-87601,123.5,195,22.12428,-101.046141,,,,,,
R-85242,30,192,22.109689,-100.960525,,,,,,
R-86839,96.8,193,28.34754,-100.853067,,,,,,
R-93425,91.5,198,23.368132,-100.582983,,,,,,
R-87602,37.6,186,27.041269,-99.737843,,,,,,
R-158844,82.1,187,17.615383,-99.52607,,,,,,
R-85243,65.6,198,22.401478,-99.474801,,,,,,
R-158876,105.2,204,28.046492,-99.320794,,,,,,
R-162202,47.2,190,29.58393,-98.303988,,,,,,
